Azimuth,Elevation
7.18031781073275,-4.00781596502839
7.180367591133,-4.0078193497949
7.18041737223495,-4.007822734606
7.18046319385784,-4.00782592981982
7.18051297631232,-4.00782931471761
7.18056275947044,-4.00783269965997
7.18061254333157,-4.0078360846469
7.18066232789462,-4.00783946967841
7.18071211315602,-4.00784285475455
7.18076189911993,-4.00784623987527
7.18081168578598,-4.00784962504054
7.1808614731541,-4.00785301025045
7.18090730061087,-4.00785620584085
7.18095708933469,-4.00785959113744
7.18100687875768,-4.00786297647862
7.18105666888595,-4.00786636186438
7.1811064597121,-4.00786974729476
7.18115625124211,-4.00787313276974
7.18120604347282,-4.00787651828928
7.18125583640733,-4.00787990385342
7.1813016690439,-4.00788309977841
7.18135146333443,-4.00788648542924
7.18140125832292,-4.00788987112474
7.18145105401432,-4.00789325686478
7.18150085040786,-4.00789664264949
7.18155064750622,-4.00790002847873
7.18160044530273,-4.0079034143526
7.18165024380204,-4.00790680027109
7.18169608162219,-4.00790999653065
7.18174588147707,-4.00791338253584
7.18179568203481,-4.00791676858566
7.18184548329326,-4.00792015468007
7.18189528525207,-4.00792354081913
7.18194508791604,-4.00792692700275
7.18199489128048,-4.00793031323101
7.18204469534573,-4.00793369950385
7.18209053835193,-4.00793689609803
7.18214034377358,-4.00794028245765
7.18219014989809,-4.00794366886186
7.18223995672494,-4.00794705531067
7.18228976425237,-4.00795044180412
7.18233957248317,-4.00795382834217
7.18238938141555,-4.00795721492485
7.18243919104959,-4.00796060155213
7.18248503923915,-4.00796379848102
7.18253485022892,-4.00796718519507
7.18258466192021,-4.00797057195376
7.18263447431687,-4.00797395875701
7.18268428741339,-4.00797734560495
7.18273410121398,-4.00798073249746
7.18278391571548,-4.00798411943461
7.18283373091898,-4.0079875064164
7.18287958429238,-4.00799070368002
7.18292940085134,-4.00799409074858
7.18297921811404,-4.00799747786174
7.18302903607955,-4.00800086501955
7.18307885474593,-4.00800425222197
7.18312867411519,-4.00800763946903
7.18317849418576,-4.00801102676073
7.18322831495836,-4.00801441409706
7.18327813643503,-4.00801780147802
7.18332399565187,-4.00802099911857
7.18337381848145,-4.00802438658633
7.18342364201765,-4.00802777409868
7.18347346625415,-4.00803116165571
7.18352329119306,-4.00803454925735
7.1835731168359,-4.00803793690363
7.1836229431824,-4.00804132459454
7.1836727702272,-4.0080447123301
7.18371847023934,-4.00802642412665
7.19070912450589,-3.99551858262643
7.19075895866783,-3.99552188405302
7.19080879353333,-3.99552518552306
7.19085862910292,-3.99552848703651
7.19090846537194,-3.99553178859345
7.19095830234487,-3.9955350901938
7.19100814001953,-3.99553839183757
7.19105401440216,-3.99554151057298
7.19110385343544,-3.99554481230123
7.19115369317136,-3.99554811407292
7.19120353360971,-3.99555141588805
7.1912533747494,-3.99555471774663
7.19130321659205,-3.99555801964868
7.19135305913846,-3.99556132159412
7.19140290238709,-3.99556462358305
7.19144878196094,-3.99556774264444
7.19149862656634,-3.99557104471787
7.19154847187401,-3.99557434683471
7.19159831788558,-3.995577648995
7.19164816459949,-3.99558095119871
7.19169801201792,-3.9955842534459
7.19174786013867,-3.99558755573652
7.19179770896228,-3.99559085807062
7.19184359372198,-3.99559397745814
7.19189344390367,-3.9955972798767
7.19194329478676,-3.99560058233876
7.19199314637322,-3.99560388484424
7.19204299866328,-3.99560718739317
7.19209285165658,-3.99561048998556
7.19214270535035,-3.99561379262144
7.19219255974845,-3.99561709530078
7.19223844970139,-3.99562021501441
7.19228830545739,-3.99562351777822
7.19233816191788,-3.99562682058548
7.19238801907938,-3.99563012343625
7.19243787694422,-3.99563342633044
7.19248773551325,-3.99563672926811
7.19253759478381,-3.99564003224925
7.19258745475843,-3.99564333527384
7.19263334990417,-3.99564645531366
7.19268321123561,-3.99564975842278
7.19273307327192,-3.99565306157535
7.1927829360101,-3.99565636477143
7.19283279945085,-3.99565966801097
7.19288266359592,-3.99566297129396
7.1929325284455,-3.9956662746204
7.19298239399796,-3.99566957799032
7.19303226025181,-3.99567288140374
7.1930781612439,-3.99567600181086
7.1931280288565,-3.99567930530881
7.19317789717299,-3.99568260885023
7.19322776619182,-3.99568591243512
7.19327763591679,-3.99568921606348
7.19332750634165,-3.99569251973532
7.19337737747099,-3.99569582345066
7.19342724930358,-3.99569912720946
7.19347315549058,-3.99570224794287
7.19352302868196,-3.99570555178622
7.19357290257696,-3.99570885567306
7.19362277717363,-3.99571215960336
7.19367265247643,-3.99571546357716
